id_newsdesertsphysical,outlet_name_newsdesertsphysical,state_newsdesertsphysical,city_newsdesertsphysical,county_newsdesertsphysical,owner_id_newsdesertsphysical,owner_newsdesertsphysical,owner_type_newsdesertsphysical,frequency_newsdesertsphysical,total_circulation_newsdesertsphysical,days_published_newsdesertsphysical,ethnic_media_newsdesertsphysical,url_cleaned
NP2333,Pontiac Daily Leader,IL,Pontiac,Livingston,OW5094,Gannett/Gatehouse,Investment,D,2800.0,5.0,No,pontiacdailyleader.com
NP2356,Review,IL,Port Byron,Rock Island,OW0754,Shaw Media,Private,W,1817.0,1.0,No,thereviewnewspapers.com
NP1991,Bureau County Republican,IL,Princeton,Bureau,OW0754,Shaw Media,Private,W,7173.0,3.0,No,bcrnews.com
NP2419,Tonica News,IL,Princeton,La Salle,OW0754,Shaw Media,Private,W,635.0,1.0,No,shawlocal.com/tags/tonica
NP2338,Prophetstown Echo,IL,Prophetstown,Whiteside,OW1102,WNS Publications,Private,W,2088.0,1.0,No,loc.gov/item/sn92053319
NP2341,Quincy Herald-Whig,IL,Quincy,Adams,OW1094,Quincy Newspapers,Private,D,3200.0,7.0,No,whig.com
NP2342,Ramsey News-Journal,IL,Ramsey,Fayette,OW5017,Will & Tracy Strawn Kunkel,Private,W,1844.0,1.0,No,loc.gov/item/sn84026622
NP2344,Rantoul Press,IL,Rantoul,Champaign,OW0231,Community Media Group,Private,W,400.0,1.0,No,news-gazette.com/news/our_county/rantoul
NP2345,Raymond News,IL,Raymond,Montgomery,OW1049,Bunker Hill Publications,Private,W,17820.0,1.0,No,loc.gov/item/sn91054623
NP2292,North County News,IL,Red Bud,Randolph,OW1077,Mohr Victor,Private,W,4000.0,1.0,No,chroniclingamerica.loc.gov/lccn/sn92061857
NP2458,Williamsville-Sherman Sun Times,IL,Riverton,Sangamon,OW0938,South County Publications,Private,W,750.0,1.0,No,southcountypublications.net/the-sun-times
NP2423,Tri-City Register,IL,Riverton,Sangamon,OW0938,South County Publications,Private,W,450.0,1.0,No,loc.gov/item/sn90054665
NP2359,Riverton Register,IL,Riverton,Sangamon,OW0938,South County Publications,Private,W,750.0,1.0,No,southcountypublications.com/rivertonregister/rivertonregister.html
NP2361,Robinson Constitution,IL,Robinson,Crawford,OW0985,Lewis Newspapers,Private,W,228.0,1.0,No,news.google.com/newspapers
NP2047,Daily News,IL,Robinson,Crawford,OW0985,Lewis Newspapers,Private,D,5933.0,5.0,No,nydailynews.com
NP2362,Rochelle News Leader,IL,Rochelle,Ogle,OW0186,News Media Corporation,Private,W,6085.0,3.0,No,rochellenews-leader.com
NP2494,Rock River Times,IL,Rockford,Winnebago,OW5019,Josh Johnson,Private,W,21990.0,1.0,No,rockrivertimes.com
NP2334,Post Journal,IL,Rockford,Winnebago,OW0945,Rock Valley Publishing,Private,W,34558.0,1.0,No,post-journal.com
NP2365,Rockford Register Star,IL,Rockford,Winnebago,OW5094,Gannett/Gatehouse,Investment,D,45376.0,7.0,No,rrstar.com
NP2155,Herald,IL,Rockton,Winnebago,OW0945,Rock Valley Publishing,Private,W,6245.0,1.0,No,liherald.com
NP2372,Rushville Times,IL,Rushville,Schuyler,OW5020,Alan Icenogle,Private,W,3700.0,1.0,No,rushvilletimes.com
NP2373,Salem Times-Commoner,IL,Salem,Marion,OW1061,Centralia Press Ltd,Private,W,3543.0,2.0,No,salemil.us/living-salem/pages/times-commoner
NP2375,Savanna Times-Journal,IL,Savanna,Carroll,OW0961,Watson Robert,Private,W,2060.0,1.0,No,mycarrollcountynews.com
NP2357,Ridgway News,IL,Shawneetown,Gallatin,OW0984,Paddock Publications,Private,W,1050.0,1.0,No,ridgwayrecord.com
