id_newsdesertsdigital,outlet_name_newsdesertsdigital,state_newsdesertsdigital,city_newsdesertsdigital,county_newsdesertsdigital,medium_type_newsdesertsdigital,audience_newsdesertsdigital,ethnic_media_newsdesertsdigital,url_cleaned
DG0353,News Atomic,NY,Kingston,Ulster,Online News Organization,State,No,newsatomic.com
DG0354,West Chester Hispano,NY,White Plains,Westchester County,Online News Organization,Local,No,westchesterhispano.net
DG0355,Talk of the Sound,NY,New Rochelle,Westchester County,Online News Organization,Local,No,newrochelletalk.com
DG0356,MyRye.com,NY,Rye,Westchester County,Online News Organization,Local,No,myrye.com
DG0357,Loop NY,NY,Larchmont,Westchester County,Online News Organization,State,No,theloopny.com
DG0358,Bluffton Icon,OH,Bluffton,Allen County,Online News Organization,Local,No,blufftonicon.com
DG0359,Loveland Magazine,OH,Loveland,Clermont County,Online News Organization,Local,No,lovelandmagazine.com
DG0360,Real Deal Press,OH,Cleveland,Cuyahoga County,Online News Organization,Local,No,therealdealpress.com
DG0361,Columbus Navigator,OH,Columbus,Delaware County,Online News Organization,Local,No,columbusnavigator.com
DG0362,Columbus Underground,OH,Columbus,Delaware County,Online News Organization,Local,No,columbusunderground.com
DG0363,Matter News,OH,Columbus,Franklin County,Online News Organization,Local,No,matternews.org
DG0364,Gallia Herald,OH,Gallia County,Gallia County,Online News Organization,Local,No,galliahometownherald.com
DG0365,Ada Icon,OH,Ada,Hardin County,Online News Organization,Local,No,adaicon.com
DG0366,Mahoning Matters,OH,Mahoning Valley,Mahoning County,Online News Organization,Local,No,mahoningmatters.com/other/about
DG0367,Richland Source,OH,Mansfield,Richland County,Online News Organization,Local,No,richlandsource.com
DG0368,Akronist,OH,Akron,Summit County,Online News Organization,Local,No,akronist.com
DG0369,Clutch MOV,OH,Marietta,Washington County,Online News Organization,Local,No,clutchmov.com
DG0370,Oklahoma Watch,OK,Norman,Cleveland County,Online News Organization,State,No,oklahomawatch.org
DG0371,Sapulpa Times,OK,Sapulpa,Creek County,Online News Organization,Local,No,sapulpatimes.com
DG0372,Oklahoma City Free Press,OK,Oklahoma City,Oklahoma County,Online News Organization,Local,No,freepressokc.com
DG0373,Luther Register,OK,Luther,Oklahoma County,Online News Organization,Local,No,lutherregister.news
DG0374,Frontier,OK,Jenks,Tulsa County,Online News Organization,State,No,readfrontier.com
DG0375,Columbia Insight,OR,Hood River,Hood River County,Online News Organization,Local,No,columbiainsight.org
DG0376,Bike Portland,OR,Portland,Multnomah County,Online News Organization,Local,No,bikeportland.org
DG0377,Go Local PDX,OR,Portland,Multnomah County,Online News Organization,State,No,golocalpdx.com
DG0378,Lund Report,OR,Portland,Multnomah County,Online News Organization,State,No,thelundreport.org
DG0379,Banks Post,OR,Banks,Washington County,Online News Organization,Local,No,bankspost.com
DG0380,Gales Creek Journal,OR,Gales Creek,Washington County,Online News Organization,Local,No,galescreekjournal.com
DG0381,Gettysburg Connection,PA,Gettysburg,Adams County,Online News Organization,Local,No,gettysburgconnection.org/category/news
DG0382,Incline,PA,Pittsburgh,Allegheny County,Online News Organization,Local,No,theincline.com
DG0383,Public Source,PA,Pittsburgh,Allegheny County,Online News Organization,Local,No,publicsource.org
DG0384,Next Pittsburgh,PA,Pittsburgh,Allegheny County,Online News Organization,Local,No,nextpittsburgh.com
DG0385,Tube City Almanac,PA,McKeesport,Allegheny County,Online News Organization,Local,No,tubecityonline.com
DG0386,Levittown Now,PA,Levittown,Bucks County,Online News Organization,Local,No,levittownnow.com
DG0387,Onward State,PA,State College,Centre County,Online News Organization,Local,No,onwardstate.com
